,Date,Total A&E attendences
0,2015-06-01,1911209.0
1,2015-07-01,1952895.0
2,2015-08-01,1865139.0
3,2015-09-01,1859979.0
4,2015-10-01,1923108.0
5,2015-11-01,1874235.0
6,2015-12-01,1867652.0
7,2016-01-01,1906920.42857143
8,2016-02-01,1870776.0
9,2016-03-01,2087553.0
10,2016-04-01,1867781.0
11,2016-05-01,2070340.0
12,2016-06-01,1958802.0
13,2016-07-01,2079034.0
14,2016-08-01,1932901.0
15,2016-09-01,1952464.0
16,2016-10-01,2001816.0
17,2016-11-01,1907871.0
18,2016-12-01,1944567.0
19,2017-01-01,1895272.0
20,2017-02-01,1735619.0
21,2017-03-01,2015834.0
22,2017-04-01,1949762.0
23,2017-05-01,2066789.0
24,2017-06-01,1994056.0
25,2017-07-01,2073944.0
26,2017-08-01,1924663.0
27,2017-09-01,1925961.0
28,2017-10-01,2044137.0
29,2017-11-01,1976971.0
30,2017-12-01,2003954.0
31,2018-01-01,2000086.0
32,2018-02-01,1820012.0
33,2018-03-01,2049785.0
34,2018-04-01,1984369.0
35,2018-05-01,2164458.0
36,2018-06-01,2093942.0
37,2018-07-01,2179896.0
38,2018-08-01,1997854.0
39,2018-09-01,2005695.0
40,2018-10-01,2079492.0
41,2018-11-01,2037847.0
42,2018-12-01,2047518.0
43,2019-01-01,2113413.0
44,2019-02-01,1954947.0
45,2019-03-01,2167551.0
46,2019-04-01,2112165.0
47,2019-05-01,2172006.0
48,2019-06-01,2107987.0
49,2019-07-01,2265050.0
50,2019-08-01,2125435.0
51,2019-09-01,2123345.0
52,2019-10-01,2170885.0
53,2019-11-01,2143505.0
54,2019-12-01,2180537.0
